State,ABBREV,FIPS,OnVmtTruck,OffVmtTruck,AdjFactor,PercentVmtConstruction,PercentVmtIndustrial,PercentVmtCommercial,MpgConstruction,MpgIndustrial,MpgCommercial
Alabama,AL,1,0.903451165,0.096548835,0.013027329,0.020427874,0.016546087,0.127485268,7.359938803,8.016770494,10.08406469
Alaska,AK,2,0.918148585,0.081851415,0.017034576,0.026170713,0.005716067,0.090423478,6.027817841,6.982135295,8.715282031
Arizona,AZ,4,0.89409792,0.10590208,0.022003683,0.069765014,0.032169094,0.192569797,8.478484524,7.046601932,8.874228131
Arkansas,AR,5,0.91095988,0.08904012,0.020397645,0.080628257,0.004037981,0.123085678,9.061504339,6.78906013,9.744812745
California,CA,6,0.943884117,0.056115883,0.007925299,0.069643468,0.019925993,0.10090238,7.390154847,8.626529982,9.894217045
Colorado,CO,8,0.945806836,0.054193164,0.017131371,0.106771796,0.011690942,0.10862676,8.423570233,8.684520827,9.140144001
Connecticut,CT,9,0.99591817,0.00408183,0.001145789,0.068388778,0.011235545,0.10956803,7.88449908,8.527497939,9.491391093
Delaware,DE,10,0.991474138,0.008525862,0.010855209,0.050720061,0.008286024,0.128415903,7.150688384,7.185781114,9.43204386
District of Columbia,DC,11,,,0.001983248,0.040603795,0.000450485,0.151860976,9.690531244,9.958877768,9.018317515
Florida,FL,12,0.992795071,0.007204929,0.016088523,0.077304649,0.021389253,0.137738567,8.19545595,8.110759631,9.715643303
Georgia,GA,13,0.993995529,0.006004471,0.0032863,0.050876023,0.000677388,0.102802985,8.419605269,7.020376555,10.00838515
Hawaii,HI,15,0.944547345,0.055452655,0.026114923,0.075253004,0.003651091,0.141053327,8.517482463,8.844523486,10.24163484
Idaho,ID,16,0.939539305,0.060460695,0.035474736,0.062193513,0.009582577,0.120229673,7.512794634,5.90664151,8.776142684
Illinois,IL,17,0.975639176,0.024360824,0.004939137,0.068596771,0.010617499,0.116015407,7.704866617,8.338175405,9.539306891
Indiana,IN,18,0.916077628,0.083922372,0.006875116,0.042823825,0.024564515,0.091171156,6.365356814,8.850257079,9.47186874
Iowa,IA,19,0.947850022,0.052149978,0.007699399,0.052288045,0.004742018,0.088890854,6.406352396,7.18978365,8.561781305
Kansas,KS,20,0.890931668,0.109068332,0.018125893,0.050086668,0.020855277,0.1460519,7.277162112,7.384166012,9.34778272
Kentucky,KY,21,0.983336984,0.016663016,0.004780974,0.049372395,0.010103536,0.127088411,7.614842825,7.456633168,9.391967863
Louisiana,LA,22,0.855975401,0.144024599,0.012611781,0.039393244,0.00940314,0.061786749,6.590241919,9.106635784,9.018220865
Maine,ME,23,0.996661958,0.003338042,0.009325504,0.059643069,0.0108338,0.183330818,7.413995327,7.033940505,9.325878455
Maryland,MD,24,0.935106089,0.064893911,0.003097034,0.073543088,0.000506663,0.101440215,8.523546062,6.583539141,9.351857517
Massachusetts,MA,25,0.992274397,0.007725603,0.002323192,0.087458832,0.000771684,0.127097859,8.286447837,9.954585295,9.416871096
Michigan,MI,26,0.988200023,0.011799977,0.011538754,0.070129457,0.007076453,0.0821297,7.396529741,7.794436376,9.173518721
Minnesota,MN,27,0.983819504,0.016180496,0.012971959,0.088824351,0.003596578,0.065453364,7.488374536,6.471285153,8.727407617
Mississippi,MS,28,0.740065385,0.259934615,0.008248629,0.050875178,0.006176833,0.054842632,7.755191632,8.874464004,9.312539998
Missouri,MO,29,0.920357336,0.079642664,0.005562458,0.069606318,0.00922504,0.110146173,7.262415589,7.148754786,9.211164915
Montana,MT,30,0.860948976,0.139051024,0.02999353,0.049406729,0.003041081,0.129507214,6.349961326,6.793586573,8.881281404
Nebraska,NE,31,0.958457788,0.041542212,0.026815456,0.074678336,0.016834127,0.080890883,7.593952062,6.800629955,8.63973912
Nevada,NV,32,0.812959055,0.187040945,0.016805924,0.04585347,0.00013244,0.122565943,6.796173258,6.479449435,8.703815762
New Hampshire,NH,33,0.997582017,0.002417983,0.005669583,0.032238256,0.0141142,0.078528648,6.828803158,7.197047659,9.235206927
New Jersey,NJ,34,0.884422369,0.115577631,0.002638,0.047798023,0.015981005,0.107566296,7.688743142,8.560559803,9.47585887
New Mexico,NM,35,0.983006631,0.016993369,0.026435588,0.072177862,0.013969376,0.11317561,7.565912527,8.691054581,9.86159577
New York,NY,36,0.944550023,0.055449977,0.0041994,0.040920354,0.010238828,0.108414483,7.144793313,7.942722576,9.158254995
North Carolina,NC,37,0.954506595,0.045493405,0.004768701,0.078488556,0.005726506,0.106498361,7.776038897,7.578873596,9.4201142
North Dakota,ND,38,0.817723274,0.182276726,0.041382407,0.070890684,0.006783894,0.090635031,8.677189669,6.01425056,8.421892865
Ohio,OH,39,0.997937212,0.002062788,0.005996481,0.070542481,0.005328241,0.080250034,6.956551924,8.173191492,9.411066475
Oklahoma,OK,40,0.766416674,0.233583326,0.018809068,0.038703221,0.008122678,0.120929149,7.231336472,7.647361732,9.665470487
Oregon,OR,41,0.981997162,0.018002838,0.010033003,0.04041772,0.012006972,0.123025269,6.33893195,7.683037037,9.426186143
Pennsylvania,PA,42,0.888979131,0.111020869,0.005016191,0.060191731,0.017156684,0.095909718,6.88320106,7.93610762,9.586682245
Rhode Island,RI,44,0.99802523,0.00197477,0.003934855,0.050811707,0.008378201,0.109272275,7.714910012,8.593116725,9.651752983
South Carolina,SC,45,0.990094455,0.009905545,0.007360719,0.063936981,0.014257333,0.096870077,8.089775675,7.991328404,9.126999797
South Dakota,SD,46,0.897519662,0.102480338,0.016266519,0.054539357,0.021011197,0.155351723,7.383240135,8.394899957,9.073411561
Tennessee,TN,47,0.987961077,0.012038923,0.013688365,0.07866006,0.010773258,0.116378531,8.258943464,8.147562001,10.26242171
Texas,TX,48,0.955737828,0.044262172,0.007019465,0.046523771,0.008665515,0.103632653,7.092737613,7.370714769,9.06414569
Utah,UT,49,0.844861331,0.155138669,0.011776072,0.038042979,0.000268879,0.113001226,6.646308281,6.589587116,9.752677629
Vermont,VT,50,0.981552486,0.018447514,0.004388067,0.071880098,0.001525878,0.098185407,8.173930944,8.96135256,9.543030183
Virginia,VA,51,0.962066215,0.037933785,0.002498747,0.076229784,0.006341311,0.117753516,7.988370072,7.992459466,9.355905759
Washington,WA,53,0.830191619,0.169808381,0.009154299,0.040306186,0.007889165,0.077872856,6.450107768,7.51056623,8.466129479
West Virginia,WV,54,0.904861706,0.095138294,0.020536008,0.040518734,0.01113161,0.072737545,7.537322414,7.163353588,9.145189243
Wisconsin,WI,55,0.981234501,0.018765499,0.010034018,0.07261459,0.024391389,0.096157548,7.381073983,7.758496038,9.205464858
Wyoming,WY,56,0.740996748,0.259003252,0.028856421,0.053882881,0.021797286,0.080201137,5.965997387,7.795228732,8.737974292
