"State","Agriculture","Aviation","Industrial & Commericial","Construction","Marine","Off-Road Recreational","Lawn & Garden","Misc. (Railroad Logging)","Federal Civilian Highway","State, County, Municipal Highway","State, County, Municipal NonHighway","State Total"
"Alabama",1539.67723574373,2535.69309115,29915.5135564952,4445.33092589233,72683.794014875,32572.5031104095,41044.85735087,1703.370172834,3247.98617631146,59819.4414467449,3175.93509041972,252684.102171746
"Alaska",27.6373859359136,1697.39209541475,3502.94014738153,718.915870584521,8890.04165825281,21971.7832186919,3519.3683374264,200.2524821779,1719.40714376284,12977.7618854992,675.052512987275,55900.552738115
"Arizona",1352.71412732791,6104.15799777,56635.6929881189,16277.4636809824,15896.2290168012,44994.4779324075,73646.88170353,52.143139988,7465.58449847087,35269.8158178922,1840.1565388452,259535.317442134
"Arkansas",4992.61098393768,1946.178695163,20011.3598356049,7508.20534924737,42890.3970609615,29747.025543582,20050.314764838,1136.630200451,1773.7738232218,20862.0483167618,1094.19031594141,152012.73488971
"California",7096.36790344759,27351.946799,198772.982713637,39760.9861737707,91583.3535381227,159544.695811841,408237.469223,1048.069471693,27185.6471520434,362671.516125821,18928.148542859,1342181.18345524
"Colorado",2182.23223426406,3460.65030841,33672.3202107542,14184.610696895,8351.09952237623,44690.7644286635,58892.58368761,89.336589207,4885.89723335815,36013.1542940882,1890.48877263717,208313.137978263
"Connecticut",43.9159928672248,816.389993172,14097.6310017817,1486.42744727387,17985.3629549931,4230.52316870665,37286.79031951,55.926397537,2009.78716484391,610.101500582948,31.8287127899509,78654.6846540584
"Delaware",128.863444412629,329.58984779697,4350.75176766175,1178.84164808579,19398.5673609419,2962.71723398494,9702.60233974,16.1734219358,550.552077265613,2647.89430675539,115.611154237966,41382.1646028187
"District of Columbia",NA,0,1063.8844377089,480.498729410346,454.101555011693,302.060753761042,2466.25325191426,0.55938686501,4676.32864720658,17097.3083340751,761.479795530987,27302.4748914839
"Florida",739.033770121026,19107.16223137,143287.611344368,45351.1535702263,325815.297447279,68911.0132640352,221129.66701494,776.232708709,12326.2145280385,179183.551685057,8510.08209761757,1025137.01966176
"Georgia",970.595656688372,4929.34657903,42362.0390457001,7447.93597224694,74510.9283939141,33204.0041781709,94999.82862025,1892.59774003,6840.11415611753,97586.9486479319,5091.66249621543,369836.001486295
"Hawaii",115.246323827976,415.397956212104,8959.48110088541,2901.94565795057,1098.44635242609,5790.14132002374,12695.472724162,0,2456.17529337348,13356.5019554848,699.634522573451,48488.4432069196
"Idaho",2377.65379593694,1799.349161225,14897.5906014901,5801.53127335566,8723.3919190803,32702.8559539239,12789.246908546,413.237992363,2226.66286096196,4099.88282604651,214.942447110558,86046.3457400399
"Illinois",6571.87323090215,3311.43025498,65397.4715679366,9637.34060472188,41788.5524247725,25059.5512890959,104519.65727614,215.431826878,6882.90340315205,47930.8319771933,2502.37074745343,313817.414603226
"Indiana",4583.89183344558,2618.77652623,31549.3563662835,7073.72078276004,27265.1445576712,21293.7255777049,58742.19325961,225.809049283,3319.723770941,16759.3114658343,878.550011226544,174310.20320099
"Iowa",8311.22573014594,1617.931498108,17009.9100792004,3700.20628955582,16045.0723759461,19916.0541303201,22158.692714731,106.581762543,1625.50805967793,23413.5128231952,1227.36028801251,115132.055751436
"Kansas",8817.86570442075,2382.775961151,24738.8447668425,5127.34939815059,7134.07320495352,19243.5717534741,23958.943264244,81.954440123,1933.63463550941,7602.23884001546,398.849189589248,101420.101158474
"Kentucky",1581.78704727849,1282.02989352,17193.9616578607,3322.03820470971,37230.4143031977,25218.6095605582,29736.955290029,485.365037693,2851.75658053597,54482.8278325157,2844.62404936374,176230.369457262
"Louisiana",2830.83485543523,2544.99937976,25004.7446748485,5345.85883839608,78556.4309856585,25332.1911796883,29509.033813688,1292.355990255,3318.19380237288,54456.2015121351,3085.3617023406,231276.206734578
"Maine",111.670409471777,921.212287302,7747.8549645942,1612.90553392731,26108.0145601814,17532.1300142001,11819.43736572,892.6267019249,848.583761647881,10190.3856644728,532.661513796783,78317.4827772391
"Maryland",661.85156879651,1533.27893895,18812.324736417,3916.5030645036,31162.6368469131,9709.26826741592,69740.83284873,151.681034663,6265.88944299698,43947.1150370598,2292.24584704343,188193.627633489
"Massachusetts",56.622122145495,2823.32544017,28538.7190221258,3591.56103835462,27456.965807176,11865.8373834753,57434.60356086,139.4793697752,3780.89664987025,32090.5900637883,1675.41632571515,169454.016783456
"Michigan",1988.11450607983,3054.85595636,48900.2132140196,14478.461047009,167250.778405193,50610.7506404188,82840.00392509,554.032694856,5296.87201203167,44915.7795357733,2340.86552121792,422230.727458049
"Minnesota",5605.93557432929,3109.90680194,32034.3696954975,11722.529631068,83830.1839089359,54778.8152712806,39675.47493056,602.741859265,2969.56294937206,29845.6383922051,1563.3947377523,265738.553752206
"Mississippi",5413.71287541843,1724.624512939,11171.9876390046,3140.4556684817,31884.064138004,22157.8593093702,17498.952754378,1550.069738019,2288.51634312977,8927.16589210862,468.710987986056,106226.119858839
"Missouri",5016.54432695475,2849.16543651,29983.7049919839,6316.27890880596,64440.1366283014,31812.1850057528,53864.40760992,438.124857153,4222.26148623852,25197.7814433423,1322.03792409706,225462.62861906
"Montana",4543.75908401212,2020.596055621,10179.9624981837,3181.51379615928,5549.94125384993,33747.0499686389,5878.319095534,325.936909556,2232.61582271481,870.600437794177,45.5069453446701,68575.8018674085
"Nebraska",6399.49198092795,1547.1587513,14943.4241830612,6326.59651524197,9142.11879479619,14844.1574624983,13841.126568044,104.011318766,1376.6843938383,21273.3190003986,1111.22989304345,90909.3188619159
"Nevada",629.247553155859,846.801949633151,13532.8461412794,5433.54473130094,6380.6914586639,27038.5250512121,34821.82282365,16.20486471,2696.36772151606,12768.1281386055,665.899394822047,104830.079828549
"New Hampshire",27.1652947212563,738.338634882,6605.77407309083,900.884628011015,25983.9625868675,12954.3045040517,12515.348344897,292.2781700268,784.63288504524,9200.14414072602,480.126527192185,70482.9597895115
"New Jersey",501.668855529061,1850.77957042,48739.1168409914,4155.77180262926,33236.6373599195,13001.3594080626,87884.70294772,102.2949692754,5245.66851676859,30917.9815046987,1613.14928959358,227249.131065608
"New Mexico",386.886227615316,1696.909335638,16553.6519812673,7825.3248570683,5523.05110469062,22203.5939524258,15563.045645922,69.756675718,4853.49465334277,9184.19126258974,479.07303535456,84338.9787316324
"New York",2000.38377204459,3096.29909722,105668.535034644,8098.16911294417,96144.3087433376,55585.1203309414,124092.9562196,374.056786373,10137.4985754326,31602.5080952609,1649.38973140908,438449.225499207
"North Carolina",2326.62697688066,3835.34908671,41023.3939109196,10378.6376261345,76734.4238414948,32981.1570576517,93736.17741429,1284.419017706,5383.36882100274,90900.0135527422,3894.33369530203,362477.901000834
"North Dakota",10250.4205573624,1577.414576498,9302.75447377062,3568.50504147449,8377.81138086286,10760.8266522443,3752.1542868802,30.756403351,1233.27339391456,9387.81610289087,491.19564725874,58732.928516508
"Ohio",2668.49544750511,3257.34673551,53223.3545299102,11312.4749863079,85583.1021679134,29163.5110662923,125438.45605143,252.250729223,5913.51962789125,62944.6763242376,3299.56881404268,383056.756480263
"Oklahoma",6547.22267145017,2356.104294605,28737.6976131846,6232.20942946697,50119.1407566899,28215.938904761,35356.74202614,240.513272062,2910.71940371852,10989.5214021379,573.743779110131,172279.553553326
"Oregon",1042.13398235799,4083.41445928,21710.6967841494,4110.88991643368,14380.5760507883,28232.3514609492,35941.07395554,1132.715791563,3473.445204163,45615.1895634238,2385.5251180242,162108.012286673
"Pennsylvania",3086.01318445944,3007.7756117,52767.4209052107,8193.01223855925,46714.6031325452,44745.0460952409,114863.74247037,460.999569652,6861.52707046823,65410.8234733561,3175.22600218323,349286.189753745
"Rhode Island",5.32636109412255,354.913342018092,4574.16999518198,491.391639048731,7676.66483559557,1383.0178636425,8109.784838746,10.865220522075,792.032261968509,9258.69878427283,452.381589647866,33109.2467317383
"South Carolina",432.520467104826,2129.715592551,19128.9231031391,5628.13962892306,118764.308171393,15367.1608174039,46242.20789562,941.866413465,3161.18126233153,129631.666103837,6973.99062106303,348401.680076831
"South Dakota",5973.99937342787,1028.735742962,6794.31283676519,1444.01054171667,6954.96215615027,13008.4673093591,4796.5748826825,42.1311283007,1096.83460986485,12798.9384221619,673.345576039425,54612.3125794305
"Tennessee",1289.83575682183,3017.2172997,35109.3608043006,12669.741475286,68679.910536948,32321.200934857,52229.42039617,559.165057361,4605.52576925817,101142.276884945,4978.6016971058,316602.256612754
"Texas",7769.70787117566,16641.0906475,124578.90649112,23890.9343851195,139247.578302629,124389.583056612,198895.9203772,1127.19250982,17866.4291256523,184179.73092656,9625.78140583691,848212.855099226
"Utah",1232.68896692169,2255.52191189,14074.420515206,3384.26963150064,17018.3056764297,23280.8360500292,16924.758714427,34.809826444,2776.94137099861,17272.3158193072,905.166184711842,99160.0346678658
"Vermont",167.804584679507,277.043692674407,2818.48903685739,504.229826118148,7003.02576454106,5118.09850463524,5203.03282841,169.2190281136,444.282110621054,7700.65895485714,402.587090683773,29808.4714221913
"Virginia",1127.69872057855,2910.72279279,24470.9608710836,5803.68407949208,56949.2215109179,29285.98805558,89802.23124205,900.085627428,10060.1096350752,85589.5195677735,4464.19828440465,311364.420387173
"Washington",4481.16529964559,3559.50872274,32825.4524275963,6501.57538586219,26568.6428253602,37478.4404893166,59371.20331679,1146.538378606,6710.6922632897,123674.161255354,5430.82513701761,307748.205501579
"West Virginia",411.365023820894,369.655019043,9146.16930868401,2591.90887272707,8614.74303882453,20708.8442574486,13900.8236655,338.069978542,1580.9952083103,21896.0994261487,1143.34277935488,80702.016578404
"Wisconsin",2720.21788950782,2432.932479591,31224.4463446363,8893.74288721835,98123.9991602933,49179.9259970734,45308.99344401,677.475137528,2682.128867941,49663.8642701239,2603.67611130933,293511.402589232
"Wyoming",2039.86325388886,769.7457135336,6534.49566935175,2686.04020098932,4872.36572477926,22847.0608641554,3531.094169107,68.204272992,1281.49453247538,6863.44045474717,363.532981154231,51857.337837174
